action_id,risk_id,action_name,action_owner,priority,status,due_date,completion_percentage,expected_risk_reduction
ACT-00264,RSK-00509,Execute user adoption program,Action Owner 10,Medium,In Progress,2026-10-01,40,32.53
ACT-00265,RSK-00511,Review vendor SLA and dependency risk,Action Owner 21,Critical,In Progress,2026-12-11,97,32.6
ACT-00266,RSK-00513,Validate transformation cost controls,Action Owner 06,High,Completed,2026-09-14,69,27.87
ACT-00267,RSK-00515,Complete business continuity test,Action Owner 19,Medium,Open,2026-12-25,76,25.38
ACT-00268,RSK-00516,Execute user adoption program,Action Owner 17,Critical,Blocked,2026-10-21,97,21.53
ACT-00269,RSK-00517,Perform architecture review,Action Owner 12,High,Completed,2026-09-27,67,39.0
ACT-00270,RSK-00518,Review vendor SLA and dependency risk,Action Owner 19,Medium,Blocked,2026-12-21,15,29.99
ACT-00271,RSK-00519,Perform security assessment,Action Owner 16,Medium,In Progress,2026-12-23,20,5.88
ACT-00272,RSK-00521,Review vendor SLA and dependency risk,Action Owner 22,High,Open,2026-11-13,100,20.91
ACT-00273,RSK-00523,Execute user adoption program,Action Owner 12,High,Blocked,2026-11-26,43,43.93
ACT-00274,RSK-00525,Perform architecture review,Action Owner 07,Critical,Open,2026-10-03,73,27.96
ACT-00275,RSK-00528,Perform architecture review,Action Owner 26,Medium,Completed,2026-10-14,33,41.84
ACT-00276,RSK-00530,Complete migration reconciliation,Action Owner 25,High,Open,2026-11-25,2,31.22
ACT-00277,RSK-00531,Validate transformation cost controls,Action Owner 29,High,Open,2026-11-15,93,29.31
ACT-00278,RSK-00533,Complete business continuity test,Action Owner 30,Medium,In Progress,2026-12-21,57,19.92
ACT-00279,RSK-00534,Perform security assessment,Action Owner 21,Medium,Blocked,2026-09-26,100,19.58
ACT-00280,RSK-00536,Complete migration reconciliation,Action Owner 15,Medium,Open,2026-09-23,50,7.09
ACT-00281,RSK-00538,Review vendor SLA and dependency risk,Action Owner 12,Medium,Completed,2026-11-14,84,32.51
ACT-00282,RSK-00539,Execute user adoption program,Action Owner 17,High,Open,2026-12-03,67,27.7
ACT-00283,RSK-00540,Perform architecture review,Action Owner 23,Medium,Open,2026-12-01,83,42.59
ACT-00284,RSK-00544,Perform security assessment,Action Owner 20,Medium,Open,2026-11-29,87,11.28
ACT-00285,RSK-00547,Validate transformation cost controls,Action Owner 15,Critical,In Progress,2026-12-12,42,34.9
ACT-00286,RSK-00552,Review vendor SLA and dependency risk,Action Owner 04,High,Open,2026-11-02,64,21.04
ACT-00287,RSK-00554,Perform security assessment,Action Owner 06,Critical,Open,2026-12-27,75,42.97
ACT-00288,RSK-00556,Perform architecture review,Action Owner 14,Medium,In Progress,2026-11-24,87,16.11
ACT-00289,RSK-00557,Complete regulatory control review,Action Owner 21,Medium,Open,2026-12-29,71,20.72
ACT-00290,RSK-00558,Perform security assessment,Action Owner 18,High,Completed,2026-10-29,84,32.67
ACT-00291,RSK-00560,Execute user adoption program,Action Owner 04,High,Blocked,2026-12-09,90,17.65
ACT-00292,RSK-00561,Review vendor SLA and dependency risk,Action Owner 06,Medium,Open,2026-10-11,51,41.75
ACT-00293,RSK-00564,Complete migration reconciliation,Action Owner 17,High,Open,2026-09-09,54,7.53
ACT-00294,RSK-00567,Complete regulatory control review,Action Owner 26,Medium,In Progress,2026-11-25,66,24.03
ACT-00295,RSK-00568,Perform architecture review,Action Owner 25,Medium,In Progress,2026-12-25,8,28.38
ACT-00296,RSK-00569,Perform security assessment,Action Owner 09,Medium,Completed,2026-11-23,37,21.01
ACT-00297,RSK-00571,Review vendor SLA and dependency risk,Action Owner 04,High,In Progress,2026-10-14,67,19.19
ACT-00298,RSK-00573,Complete regulatory control review,Action Owner 10,Critical,Open,2026-11-17,18,7.03
ACT-00299,RSK-00577,Perform security assessment,Action Owner 01,Medium,In Progress,2026-11-18,80,31.99
ACT-00300,RSK-00578,Review vendor SLA and dependency risk,Action Owner 13,Medium,Open,2026-12-17,81,41.04
ACT-00301,RSK-00579,Perform architecture review,Action Owner 06,High,In Progress,2026-10-19,55,44.26
ACT-00302,RSK-00580,Complete business continuity test,Action Owner 10,Critical,Open,2026-12-02,31,21.88
ACT-00303,RSK-00582,Complete regulatory control review,Action Owner 04,Medium,In Progress,2026-10-05,64,28.06
ACT-00304,RSK-00583,Complete business continuity test,Action Owner 06,High,In Progress,2026-12-11,39,24.87
ACT-00305,RSK-00585,Validate transformation cost controls,Action Owner 13,Medium,Open,2026-11-13,17,20.43
ACT-00306,RSK-00587,Execute user adoption program,Action Owner 17,Critical,In Progress,2026-10-25,8,22.4
ACT-00307,RSK-00588,Perform security assessment,Action Owner 21,High,Completed,2026-10-24,6,26.6
ACT-00308,RSK-00589,Complete regulatory control review,Action Owner 22,High,Blocked,2026-12-02,89,25.15
ACT-00309,RSK-00590,Complete migration reconciliation,Action Owner 24,Medium,In Progress,2026-11-04,84,42.3
ACT-00310,RSK-00592,Complete regulatory control review,Action Owner 09,Medium,Completed,2026-11-26,69,32.43
ACT-00311,RSK-00596,Perform architecture review,Action Owner 21,Medium,Completed,2026-11-20,95,39.27
ACT-00312,RSK-00598,Perform architecture review,Action Owner 07,Medium,Completed,2026-10-08,53,43.67
ACT-00313,RSK-00599,Complete business continuity test,Action Owner 20,Medium,In Progress,2026-11-05,79,14.36
ACT-00314,RSK-00602,Complete migration reconciliation,Action Owner 07,Medium,Completed,2026-09-08,45,35.52
ACT-00315,RSK-00604,Complete regulatory control review,Action Owner 20,High,Completed,2026-10-23,94,11.89
ACT-00316,RSK-00606,Complete migration reconciliation,Action Owner 01,Critical,In Progress,2026-10-12,93,5.88
ACT-00317,RSK-00607,Complete business continuity test,Action Owner 26,High,In Progress,2026-10-10,11,36.69
ACT-00318,RSK-00609,Validate transformation cost controls,Action Owner 30,Critical,Blocked,2026-09-23,50,8.16
ACT-00319,RSK-00619,Complete business continuity test,Action Owner 06,Critical,In Progress,2026-09-11,50,25.9
ACT-00320,RSK-00620,Review vendor SLA and dependency risk,Action Owner 10,Critical,Completed,2026-10-27,81,6.02
ACT-00321,RSK-00621,Execute user adoption program,Action Owner 13,Medium,Open,2026-11-03,80,22.97
ACT-00322,RSK-00624,Validate transformation cost controls,Action Owner 25,Medium,Completed,2026-09-26,79,35.95
ACT-00323,RSK-00627,Perform architecture review,Action Owner 17,Critical,Completed,2026-09-19,71,13.28
ACT-00324,RSK-00629,Complete regulatory control review,Action Owner 01,Medium,In Progress,2026-12-17,63,11.38
ACT-00325,RSK-00631,Complete business continuity test,Action Owner 16,High,Open,2026-12-20,1,36.11
ACT-00326,RSK-00632,Perform security assessment,Action Owner 27,Medium,In Progress,2026-11-13,34,27.77
ACT-00327,RSK-00633,Execute user adoption program,Action Owner 09,Medium,Blocked,2026-11-04,86,16.52
ACT-00328,RSK-00640,Perform security assessment,Action Owner 30,Medium,Open,2026-11-08,48,19.63
ACT-00329,RSK-00642,Complete business continuity test,Action Owner 19,Medium,Open,2026-09-12,84,37.83
ACT-00330,RSK-00644,Execute user adoption program,Action Owner 22,Critical,In Progress,2026-10-06,42,12.88
ACT-00331,RSK-00647,Perform security assessment,Action Owner 02,Medium,Open,2026-10-04,95,9.49
ACT-00332,RSK-00648,Perform architecture review,Action Owner 03,High,Open,2026-09-27,29,43.97
ACT-00333,RSK-00649,Complete regulatory control review,Action Owner 10,High,In Progress,2026-12-13,75,27.04
ACT-00334,RSK-00652,Validate transformation cost controls,Action Owner 11,High,Completed,2026-11-19,57,36.67
ACT-00335,RSK-00653,Perform security assessment,Action Owner 22,Medium,In Progress,2026-12-15,74,17.0
ACT-00336,RSK-00655,Complete business continuity test,Action Owner 14,Medium,Completed,2026-10-04,17,21.62
ACT-00337,RSK-00661,Perform architecture review,Action Owner 08,High,Blocked,2026-12-24,81,21.01
ACT-00338,RSK-00664,Complete regulatory control review,Action Owner 20,Medium,In Progress,2026-10-05,0,28.36
ACT-00339,RSK-00667,Execute user adoption program,Action Owner 05,Medium,Completed,2026-11-12,36,10.61
